Cards,"Pr(Win, call)","Pr(Tie, call)","Pr(Fold, call)",Pr(Fold)
"A, 2 s",0.2824260355,0.01903195266,0.2074177515,0.4911242604
"A, 3 s",0.2866497041,0.01918461538,0.2030414201,0.4911242604
"A, 4 s",0.2907207101,0.01928639053,0.1988686391,0.4911242604
"A, 5 s",0.2954532544,0.01887928994,0.1945431953,0.4911242604
"A, 6 s",0.2960130178,0.01755621302,0.1953065089,0.4911242604
"A, 7 s",0.3021704142,0.01623313609,0.1904721893,0.4911242604
"A, 8 s",0.3078698225,0.01460473373,0.1864011834,0.4911242604
"A, 9 s",0.3129585799,0.01292544379,0.182991716,0.4911242604
"A, 10 s",0.3230343195,0.01129704142,0.1745443787,0.4911242604
"A, J s",0.3276650888,0.01012662722,0.1710840237,0.4911242604
"A, Q s",0.3323467456,0.00910887574,0.1674201183,0.4911242604
"A, K s",0.3369266272,0.008396449704,0.1635526627,0.4911242604
"2, 3 s",0.1683869822,0.02941301775,0.3110757396,0.4911242604
"2, 4 s",0.1725597633,0.02961656805,0.3066994083,0.4911242604
"2, 5 s",0.1776994083,0.02966745562,0.3015088757,0.4911242604
"2, 6 s",0.1772414201,0.02880236686,0.2884456749,0.4911242604
"2, 7 s",0.1802946746,0.02763195266,0.2882300391,0.4911242604
"2, 8 s",0.1916934911,0.02635976331,0.2795034672,0.4911242604
"2, 9 s",0.2033976331,0.02483313609,0.2716884178,0.4911242604
"2, 10 s",0.2164757396,0.02335739645,0.2650215178,0.4911242604
"2, J s",0.2300118343,0.02213609467,0.2572637169,0.4911242604
"2, Q s",0.2447692308,0.02101656805,0.2461505207,0.4911242604
"2, K s",0.2606970414,0.02004970414,0.2332670753,0.4911242604
"3, 4 s",0.1817704142,0.02961656805,0.2810917936,0.4911242604
"3, 5 s",0.1870118343,0.02982011834,0.2770137957,0.4911242604
"3, 6 s",0.1866556213,0.02895502959,0.2783184243,0.4911242604
"3, 7 s",0.1898106509,0.02778461538,0.2776568867,0.4911242604
"3, 8 s",0.1947976331,0.02635976331,0.2757231613,0.4911242604
"3, 9 s",0.2076213018,0.02498579882,0.2663719451,0.4911242604
"3, 10 s",0.2206994083,0.02351005917,0.2603118788,0.4911242604
"3, J s",0.2342863905,0.02223786982,0.2516673629,0.4911242604
"3, Q s",0.2489928994,0.02116923077,0.2416177157,0.4911242604
"3, K s",0.2649715976,0.02015147929,0.2269589323,0.4911242604
"4, 5 s",0.1960698225,0.0297183432,0.2685970015,0.4911242604
"4, 6 s",0.1958153846,0.02900591716,0.2702686562,0.4911242604
"4, 7 s",0.1989704142,0.02788639053,0.269684086,0.4911242604
"4, 8 s",0.2040591716,0.02641065089,0.2662981583,0.4911242604
"4, 9 s",0.2106745562,0.02493491124,0.2638511051,0.4911242604
"4, 10 s",0.2249230769,0.02366272189,0.2562567803,0.4911242604
"4, J s",0.2384591716,0.02239053254,0.2479055037,0.4911242604
"4, Q s",0.253216568,0.02127100592,0.2373660642,0.4911242604
"4, K s",0.2690934911,0.02030414201,0.2231646323,0.4911242604
"5, 6 s",0.2052804734,0.0283443787,0.2601261393,0.4911242604
"5, 7 s",0.2084863905,0.02742840237,0.2605319672,0.4911242604
"5, 8 s",0.2136769231,0.02595266272,0.2576256543,0.4911242604
"5, 9 s",0.2203940828,0.02447692308,0.2540654369,0.4911242604
"5, 10 s",0.2286378698,0.02315384615,0.252805971,0.4911242604
"5, J s",0.2433443787,0.02203431953,0.2434267667,0.4911242604
"5, Q s",0.2580508876,0.0209147929,0.2323307451,0.4911242604
"5, K s",0.2739278107,0.01989704142,0.2188881731,0.4911242604
"6, 7 s",0.2179005917,0.02585088757,0.2522602024,0.4911242604
"6, 8 s",0.2229384615,0.0246295858,0.2492686529,0.4911242604
"6, 9 s",0.2297573964,0.02315384615,0.2467287301,0.4911242604
"6, 10 s",0.2381538462,0.02177988166,0.244933037,0.4911242604
"6, J s",0.2471609467,0.02066035503,0.2414307041,0.4911242604
"6, Q s",0.2629360947,0.01964260355,0.22890856,0.4911242604
"6, K s",0.2788639053,0.01867573964,0.2146823204,0.4911242604
"7, 8 s",0.2324544379,0.02289940828,0.2419414875,0.4911242604
"7, 9 s",0.2391207101,0.02162721893,0.2390071864,0.4911242604
"7, 10 s",0.2475680473,0.02020236686,0.2370677362,0.4911242604
"7, J s",0.2567278107,0.01903195266,0.2337225185,0.4911242604
"7, Q s",0.2672615385,0.01806508876,0.2270575268,0.4911242604
"7, K s",0.284156213,0.0172,0.2110305054,0.4911242604
"8, 9 s",0.2485857988,0.0197443787,0.2307093418,0.4911242604
"8, 10 s",0.2569822485,0.0185739645,0.2298442541,0.4911242604
"8, J s",0.2661928994,0.01730177515,0.2252910941,0.4911242604
"8, Q s",0.2768792899,0.01628402367,0.2190885427,0.4911242604
"8, K s",0.2889905325,0.01546982249,0.2080567666,0.4911242604
"9, 10 s",0.2664982249,0.01679289941,0.2212620755,0.4911242604
"9, J s",0.2753526627,0.01577514793,0.2173062077,0.4911242604
"9, Q s",0.2860899408,0.0146556213,0.2107207277,0.4911242604
"9, K s",0.2983538462,0.01373964497,0.2000324423,0.4911242604
"10, J s",0.2857337278,0.01394319527,0.2103918672,0.4911242604
"10, Q s",0.2960130178,0.01317988166,0.2051103797,0.4911242604
